# HOSTRADA weather file for IDA ICE
# Columns: Month Day Hour DryBulb_C RelHum_pct DirectNormal_W_m2 DiffuseHorizontal_W_m2 WindDir_deg WindSpeed_m_s GlobalHorizontal_W_m2
# Units: - - h degC % W/m2 W/m2 deg m/s W/m2
Month Day Hour DryBulb_C RelHum_pct DirectNormal_W_m2 DiffuseHorizontal_W_m2 WindDir_deg WindSpeed_m_s GlobalHorizontal_W_m2
1 1 2 2.200 83.400 0.000 0.000 214.000 5.800 0.000
1 1 3 2.400 82.900 0.000 0.000 215.000 7.000 0.000
1 1 4 2.200 81.900 0.000 0.000 215.000 6.200 0.000
1 1 5 2.600 81.000 0.000 0.000 222.000 6.400 0.000
1 1 6 2.900 80.100 0.000 0.000 217.000 6.600 0.000
1 1 7 3.200 80.200 0.000 0.000 223.000 6.900 0.000
1 1 8 3.700 80.200 0.000 0.000 218.000 7.000 0.000
1 1 9 4.200 79.400 0.000 0.000 218.000 6.900 0.000
1 1 10 4.400 79.200 0.769 7.448 221.000 7.100 7.500
1 1 11 5.000 79.200 7.455 52.889 224.000 6.900 54.100
1 1 12 5.900 77.900 13.864 83.888 222.000 7.600 87.000
1 1 13 6.300 75.900 5.171 70.007 223.000 7.700 71.300
1 1 14 6.900 74.300 8.422 79.998 225.000 8.000 82.000
1 1 15 6.900 72.700 4.132 47.123 222.000 7.400 47.900
1 1 16 7.000 71.400 1.514 15.942 225.000 7.300 16.100
1 1 17 7.000 70.000 0.000 3.800 223.000 7.600 3.800
1 1 18 7.000 67.800 0.000 0.000 216.000 7.800 0.000
1 1 19 6.900 65.600 0.000 0.000 223.000 8.600 0.000
1 1 20 7.000 64.800 0.000 0.000 228.000 9.000 0.000
1 1 21 7.100 66.300 0.000 0.000 225.000 8.500 0.000
1 1 22 7.500 68.200 0.000 0.000 230.000 9.400 0.000
1 1 23 7.900 67.200 0.000 0.000 224.000 8.500 0.000
1 1 24 8.000 65.100 0.000 0.000 223.000 8.600 0.000
1 2 1 8.200 65.700 0.000 0.000 232.000 8.400 0.000
1 2 2 8.300 68.300 0.000 0.000 226.000 8.400 0.000
1 2 3 7.900 72.200 0.000 0.000 232.000 8.000 0.000
1 2 4 7.500 76.400 0.000 0.000 242.000 6.900 0.000
1 2 5 6.100 84.900 0.000 0.000 253.000 5.800 0.000
1 2 6 6.100 92.200 0.000 0.000 237.000 5.300 0.000
1 2 7 6.400 89.700 0.000 0.000 249.000 6.100 0.000
1 2 8 5.100 83.700 0.000 0.000 268.000 8.700 0.000
1 2 9 3.700 80.200 0.000 0.000 275.000 5.800 0.000
