# Polysun weather profile generated by hostrada4py from HOSTRADA data
# Columns: Global radiation [Wh/m2], Diffuse radiation [Wh/m2], Long-wave irradiation [Wh/m2], Ambient temperature [degC], Wind speed [m/s], Relative humidity [%]
# Location: HOSTRADA, lat=52.521918, lon=13.413215
Gh,Dh,Lh,Tamb,Vwnd,Hrel
0,0,169.73,2.7,5.3,81.4
0,0,170.43,2.9,6.4,81
0,0,169.37,2.7,6.2,80.2
0,0,170.796,3.1,5.7,79.5
0,0,171.722,3.4,6.4,78.5
0,0,173.284,3.8,6.7,78.2
0,0,174.952,4.2,6.4,78.2
0,0,176.47,4.6,6.4,77.7
7.5,7.44798,177.118,4.8,7,77.1
54.3,53.0812,179.6,5.4,6.6,76.9
93.7,89.2397,182.698,6.2,7.2,75.9
75.4,73.9532,183.837,6.6,7.8,74.2
79.7,77.8839,185.402,7.1,8.4,72.5
51,50.1171,184.923,7.1,7.6,71.2
14.9,14.7638,184.587,7.1,7.2,70.3
3.6,3.6,184.376,7.2,7.2,68.6
0,0,183.479,7.2,7.6,66.3
0,0,182.329,7.1,8.8,64.5
0,0,182.596,7.2,8.7,64.1
0,0,183.161,7.2,8.3,65.5
0,0,185.927,7.7,8.9,67
0,0,186.757,8,8.7,65.8
0,0,186.287,8.1,8.8,63.6
0,0,187.413,8.3,8,64.2
0,0,189.485,8.5,8.1,67.1
0,0,189.28,8.1,7.7,71.1
0,0,189.058,7.7,7.2,75.3
0,0,185.741,6.3,5.9,83.8
0,0,188.002,6.3,5.4,91.2
0,0,188.558,6.6,6.5,88.6
0,0,182.127,5.5,8.9,83.4
0,0,174.047,3.9,6.4,79.3
17.7,17.4125,171.527,3.3,5.7,79.2
75.8,70.2724,172.554,3.4,4.9,81.2
104.1,96.6507,174.76,3.9,5.2,81.6
177.7,117.3,174.637,3.9,5.2,81.2
197.8,93.5707,177.536,4.7,5.5,79.7
111.8,90.9733,177.151,4.8,4.8,77.2
39.8,38.5289,177.276,4.9,4.5,76.3
3.7,3.7,176.4,4.7,4.2,76.2
0,0,173.893,4,3.4,77.5
0,0,173.763,3.9,3.7,78.4
0,0,173.858,3.9,3.6,78.7
0,0,173.71,3.7,4.3,80.9
0,0,171.673,3.1,4.5,82.4
0,0,171.084,2.9,4.9,83.2
0,0,169.846,2.5,5.2,84.6
0,0,171.666,2.9,5,85.2
0,0,172.023,3,5.7,85
0,0,172.263,3.1,5,84.4
0,0,171.29,3,5.2,82.5
0,0,170.05,2.8,5.4,81.1
0,0,170.05,2.8,5.2,81.1
0,0,169.914,2.9,5.5,79.3
0,0,169.984,3,5.8,78.2
0,0,168.823,2.5,5.3,81.1
4.5,4.4816,169.793,2.6,6.3,83
60.5,58.7092,169.64,2.7,6.5,81.1
76.4,74.6499,169.829,3,7.5,77.7
63,62.0022,169.87,3.3,8,74
64.2,63.1119,169.172,3.4,8.3,70.7
53.9,52.9352,169.713,3.8,8.9,67.6
17.4,17.222,162.372,1.1,8.4,78.3
4.1,4.1,165.703,1,7.1,91.8
0,0,163.742,0.7,7.6,88.9
0,0,162.559,0.7,7,84.5
0,0,158.894,0,6.2,81.2
0,0,157.813,-0.3,5.8,81.5
0,0,159.074,-0.2,6.3,84.7
0,0,158.719,-0.4,6,86.3
0,0,158.824,-0.4,6.4,86.7
0,0,159.267,-0.3,6.7,86.9
0,0,159.99,0,7.2,85.2
0,0,160.4,0.3,6,82.4
0,0,159.897,0.2,5.7,82
0,0,160.709,0.4,5.6,82.1
0,0,159.895,0.3,5.2,80.6
0,0,159.504,0.2,4.8,80.6
0,0,159.533,0.2,4.6,80.7
0,0,158.365,-0.1,3.9,80.7
6,5.96765,159.758,0.2,3.4,81.5
39.2,38.6098,159.811,0.1,3.9,83.1
70.2,68.827,160.247,0.1,3.6,84.7
79.3,77.7259,159.936,0,3.7,85
124.2,110.758,160.951,0.3,3.1,84.4
111.9,92.649,161.97,0.6,2.7,83.8
56.9,50.5906,162.511,0.8,2.8,82.9
21.6,21.6,162.738,0.9,2.3,82.3
0,0,162.314,0.8,2.8,82.2
0,0,162.398,0.8,3,82.5
0,0,163.075,0.9,3.2,83.5
0,0,163.298,0.9,2.9,84.3
0,0,163.353,0.9,2.5,84.5
0,0,162.025,0.6,2.9,84
0,0,160.504,0.2,2.8,84.2
0,0,160.301,0.1,2.4,84.9
0,0,161.07,0.2,2.3,86.3
0,0,161.02,0.1,2.2,87.6
0,0,159.528,-0.3,1.9,87.9
0,0,156.238,-1.2,1.9,88.7
0,0,154.643,-1.7,1.9,90
